상세링크,이름,공고번호,해시태그,현 상황,임보종류,구조 지역,성별,중성화 여부,출생시기,몸무게,SNS,임보조건_지역,임보조건_임보 기간,임보조건_픽업,임보조건_기타 조건,이런_집도_가능해요,건강정보_접종 현황,건강정보_검사 현황,건강정보_병력 사항,건강정보_기타 사항,참고용정보_배변,참고용정보_산책,참고용정보_짖음,참고용정보_분리불안,참고용정보_털빠짐,참고용정보_스킨십,참고용정보_대인,참고용정보_대견,참고용정보_외동,참고용정보_대묘,책임자_제공_사항
https://www.pimfyvirus.com/search/01_v/2618/,식빵,공고번호 : 2025-01-1038,"# 애교쟁이, # 사람좋아, # 똑똑이, # 순둥이, # 먹는거최고",임보가능,단기임보,인천,남,중성화 완,2020년 추정,4kg,,전국,3 개월,방문 필수,,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정","1차접종 - 25.02.13 (종합/켄넬)
2차접종 - 25.02.27 (종합/광견)
3차접종 - 25.03.14 (종합/코로나)","25.01.31 - 코로나, 파보, 사상충, 지알디아키트검사 음성
25.04.30 - 사상충 재검 음성",,,2,2,3,2,3,4,5,3,3,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2617/,소금,공고번호 : 2025-01-1037,"# 사람좋아, # 소심소심, # 조용조용, # 똑똑이, # 순둥이",임보가능,단기임보,인천,여,중성화 완,2020년 추정,3kg,,전국,3 개월,방문 필수,,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정","25.04.15 - 1차접종 (종합/코로나)
25.04.29 - 2차접종 (종합/켄넬)","25.04.01 - 파보, 사상충, 코로나 키트검사 음성",,,2,4,1,2,1,4,5,3,3,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2616/,밤빵,공고번호 : 2025-01-1036,"# 애교쟁이, # 사람좋아, # 친구좋아, # 꾸러기, # 순둥이",임보가능,단기임보,인천,남,중성화 완,2021년 추정,6kg,,전국,3 개월,방문 필수,,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정","24.06.25 - 1차접종 (종합/코로나/켄넬/광견)
24.07.09 - 2차접종 (종합/코로나/켄넬)
24.07.23- 3차접종 (종합)",25.04.17 - 홍역/파보/코로나 음성,,,2,4,1,2,4,5,5,5,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2615/,지단,공고번호 : 2025-01-1035,"# 애교쟁이, # 사람좋아, # 호기심천국, # 장난감최고",임보가능,단기임보,인천,여,중성화 전,2024년 추정,6kg,,전국,3 개월,방문 필수,미중성 남아 반려견 가정 불가,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정","25.02.13 - 1차접종 (종합/켄넬)
25.03.18 - 2차접종 (종합/코로나)
25.04.01 - 3차접종 (종합/광견)","25.02.03 - 파보, 코로나, 지알디아, 사상충 키트검사 음성",,,2,3,2,2,4,4,4,3,3,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2614/,동물구조119_여리,공고번호 : 2025-01-1034,"# 애교쟁이, # 사람좋아, # 순둥이, # 먹는거최고, # 얼굴천재",임보중,입양전제,시보호소,여,중성화 완,2015년 추정,3kg,,"서울,경기",3 개월,지원 가능,"아이 있는집 불가, 혼자 사는 남성 불가","원룸, 1인 가구",접종완료,건강검진완료,유선종양 수술함,,4,4,4,3,2,5,5,2,2,3,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2613/,동사세_쉐리,공고번호 : 2025-01-1033,"# 친구좋아, # 소심소심, # 조용조용, # 시크도도, # 순둥이",임보가능,긴급임보,충남 예산군 시골마을,여,중성화 전,2022년 추정,5kg,,전국,3 개월 이상,지원 가능,,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정",,,,,1,1,1,1,3,3,1,5,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2612/,동사세_비쥬,공고번호 : 2025-01-1032,"# 애교쟁이, # 사람좋아, # 친구좋아, # 조용조용, # 순둥이",임보중,긴급임보,충남예산군,여,중성화 전,2025년 추정,4kg,,전국,3 개월 이상,지원 가능,,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정",접종완료.,전염병검진완,사상충치료중,,1,4,1,1,1,5,5,5,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2609/,에이미,공고번호 : 2025-01-1031,"# 애교쟁이, # 사람좋아, # 친구좋아, # 순둥이, # 산책최고",임보가능,릴레이임보,홍성보호소,여,중성화 완,2025년 추정,9kg,링크 바로가기,"서울,경기,충청도",3 개월,지원 가능,심장사상충 치료 중이기 때문에 치료기간 동안 주의사항을 지켜주시면서 케어가 가능하신분,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플","2025.1.18. 1차 접종
2025.1.27. 2차 접종
2025.3.8. 3차 접종",,2025.4. 심장사상충 치료 시작하여 현재까지 치료 중,,5,5,2,1,4,4,4,4,5,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2608/,빛나,공고번호 : 2025-01-1030,"# 소심소심, # 조용조용, # 시크도도, # 독립심짱, # 얼굴천재",임보가능,일반임보,경북 영덕군,남,중성화 완,2022년 추정,11kg,,전국,3 개월 이상,지원 가능,당분간 집에 적응하는 동안에는 산책은 금지입니다. 겁이 너무 많아ㅠㅠ 천천히 기다려주실 분 기다립니다!,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정","2024.11. 종합, 광견병 접종","2024.11. 전염병 검사, 모두 음성",,"긴장하면 똥오줌을 지립니다.
사람으로 치면 예민성 대장증후군 같은 거라고 합니다^^;",4,1,1,1,2,3,2,3,3,4,"기초 병원비(중성화/전염병 검사/기본 접종 등), 일반 병원비(임보 중 발생하게 된 가벼운 질환 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
https://www.pimfyvirus.com/search/01_v/2607/,쥬스,공고번호 : 2025-01-1029,"# 애교쟁이, # 사람좋아, # 호기심천국, # 순둥이, # 먹는거최고",임보가능,단기임보,인천,여,중성화 완,2018년 추정,4kg,,전국,3 개월,지원 가능,,"원룸, 1인 가구, 반려동물 무경험자, 동거 커플, 영유아 가정","25.04.29-1차접종 (종합/코로나)
25.05.27-2차접종(종합/광견)","25.04.17 - 코로나, 파보 키트검사 음성
25.04.21 - 사상충 키트검사 음성",,,2,4,5,5,1,5,5,4,3,,"기초 병원비(중성화/전염병 검사/기본 접종 등), 심화 병원비(임보 전부터 이어진 지병,큰 검사 및 수술이 필요한 경우 등)"
